id,verse_id,verse,label
0,ecclesiastes_7_2,"It is better to go to the house of mourning, than to go to the house of feasting: for that is the end of all men; and the living will lay it to his heart.",sadness
1,2_chronicles_2_9,Even to prepare me timber in abundance: for the house which I am about to build shall be wonderful great.,joy
2,exodus_3_9,"Now therefore, behold, the cry of the children of Israel is come unto me: and I have also seen the oppression wherewith the Egyptians oppress them.",sadness
3,ezekiel_5_3,"Thou shalt also take thereof a few in number, and bind them in thy skirts.",neutral
4,judges_9_39,"And Gaal went out before the men of Shechem, and fought with Abimelech.",anger
5,2_kings_5_19,"And he said unto him, Go in peace. So he departed from him a little way.",joy
6,ezekiel_20_32,"And that which cometh into your mind shall not be at all, that ye say, We will be as the heathen, as the families of the countries, to serve wood and stone.",anger
7,psalms_118_17,"I shall not die, but live, and declare the works of the LORD.",joy
8,song_of_solomon_1_6,"Look not upon me, because I am black, because the sun hath looked upon me: my mother's children were angry with me; they made me the keeper of the vineyards; but mine own vineyard have I not kept.",sadness
9,john_5_41,I receive not honour from men.,neutral
10,romans_1_12,"That is, that I may be comforted together with you by the mutual faith both of you and me.",joy
11,numbers_29_1,"And in the seventh month, on the first day of the month, ye shall have an holy convocation; ye shall do no servile work: it is a day of blowing the trumpets unto you.",joy
12,isaiah_2_11,"The lofty looks of man shall be humbled, and the haughtiness of men shall be bowed down, and the LORD alone shall be exalted in that day.",anger
13,1_chronicles_11_28,"Ira the son of Ikkesh the Tekoite, Abi-ezer the Antothite,",neutral
14,1_kings_3_12,"Behold, I have done according to thy words: lo, I have given thee a wise and an understanding heart; so that there was none like thee before thee, neither after thee shall any arise like unto thee.",joy
15,psalms_119_1,"Blessed are the undefiled in the way, who walk in the law of the LORD.",joy
16,proverbs_14_21,"He that despiseth his neighbour sinneth: but he that hath mercy on the poor, happy is he.",joy
17,joshua_7_1,"But the children of Israel committed a trespass in the accursed thing: for Achan, the son of Carmi, the son of Zabdi, the son of Zerah, of the tribe of Judah, took of the accursed thing: and the anger of the LORD was kindled against the children of Israel.",anger
18,leviticus_6_24,"And the LORD spake unto Moses, saying,",neutral
19,song_of_solomon_2_1,"I am the rose of Sharon, and the lily of the valleys.",joy
20,psalms_72_5,"They shall fear thee as long as the sun and moon endure, throughout all generations.",fear
21,ezra_4_24,Then ceased the work of the house of God which is at Jerusalem. So it ceased unto the second year of the reign of Darius king of Persia.,sadness
22,isaiah_63_13,"That led them through the deep, as an horse in the wilderness, that they should not stumble?",neutral
23,jeremiah_1_4,"Then the word of the LORD came unto me, saying,",neutral
24,ezekiel_3_16,"And it came to pass at the end of seven days, that the word of the LORD came unto me, saying,",neutral
25,1_chronicles_6_63,"Unto the sons of Merari were given by lot, throughout their families, out of the tribe of Reuben, and out of the tribe of Gad, and out of the tribe of Zebulun, twelve cities.",neutral
26,joshua_23_15,"Therefore it shall come to pass, that as all good things are come upon you, which the LORD your God promised you; so shall the LORD bring upon you all evil things, until he have destroyed you from off this good land which the LORD your God hath given you.",fear
27,deuteronomy_29_8,"And we took their land, and gave it for an inheritance unto the Reubenites, and to the Gadites, and to the half tribe of Manasseh.",neutral
28,2_samuel_1_4,"And David said unto him, How went the matter? I pray thee, tell me. And he answered, That the people are fled from the battle, and many of the people also are fallen and dead; and Saul and Jonathan his son are dead also.",sadness
29,psalms_118_22,The stone which the builders refused is become the head stone of the corner.,surprise
30,jeremiah_49_1,"Concerning the Ammonites, thus saith the LORD; Hath Israel no sons? hath he no heir? why then doth their king inherit Gad, and his people dwell in his cities?",anger
31,obadiah_1_4,"Though thou exalt thyself as the eagle, and though thou set thy nest among the stars, thence will I bring thee down, saith the LORD.",anger
32,exodus_30_20,"When they go into the tabernacle of the congregation, they shall wash with water, that they die not; or when they come near to the altar to minister, to burn offering made by fire unto the LORD:",fear
33,hebrews_10_6,In burnt offerings and sacrifices for sin thou hast had no pleasure.,disgust
34,1_kings_16_6,"So Baasha slept with his fathers, and was buried in Tirzah: and Elah his son reigned in his stead.",neutral
35,ephesians_4_21,"If so be that ye have heard him, and have been taught by him, as the truth is in Jesus:",neutral
36,ezekiel_42_9,"And from under these chambers was the entry on the east side, as one goeth into them from the utter court.",neutral
37,isaiah_9_20,"And he shall snatch on the right hand, and be hungry; and he shall eat on the left hand, and they shall not be satisfied: they shall eat every man the flesh of his own arm:",disgust
38,romans_1_27,"And likewise also the men, leaving the natural use of the woman, burned in their lust one toward another; men with men working that which is unseemly, and receiving in themselves that recompence of their error which was meet.",disgust
39,leviticus_7_16,"But if the sacrifice of his offering be a vow, or a voluntary offering, it shall be eaten the same day that he offereth his sacrifice: and on the morrow also the remainder of it shall be eaten:",neutral
40,joshua_12_22,"The king of Kedesh, one; the king of Jokneam of Carmel, one;",neutral
41,joshua_7_15,"And it shall be, that he that is taken with the accursed thing shall be burnt with fire, he and all that he hath: because he hath transgressed the covenant of the LORD, and because he hath wrought folly in Israel.",fear
42,proverbs_23_13,"Withhold not correction from the child: for if thou beatest him with the rod, he shall not die.",neutral
43,isaiah_27_12,"And it shall come to pass in that day, that the LORD shall beat off from the channel of the river unto the stream of Egypt, and ye shall be gathered one by one, O ye children of Israel.",joy
44,john_12_7,"Then said Jesus, Let her alone: against the day of my burying hath she kept this.",sadness
45,ezekiel_33_21,"And it came to pass in the twelfth year of our captivity, in the tenth month, in the fifth day of the month, that one that had escaped out of Jerusalem came unto me, saying, The city is smitten.",sadness
46,isaiah_3_1,"For, behold, the Lord, the LORD of hosts, doth take away from Jerusalem and from Judah the stay and the staff, the whole stay of bread, and the whole stay of water,",fear
47,james_1_13,"Let no man say when he is tempted, I am tempted of God: for God cannot be tempted with evil, neither tempteth he any man:",neutral
48,ezekiel_13_2,"Son of man, prophesy against the prophets of Israel that prophesy, and say thou unto them that prophesy out of their own hearts, Hear ye the word of the LORD;",anger
49,jeremiah_42_20,"For ye dissembled in your hearts, when ye sent me unto the LORD your God, saying, Pray for us unto the LORD our God; and according unto all that the LORD our God shall say, so declare unto us, and we will do it.",anger
50,jeremiah_36_15,"And they said unto him, Sit down now, and read it in our ears. So Baruch read it in their ears.",neutral
51,1_kings_8_38,"What prayer and supplication soever be made by any man, or by all thy people Israel, which shall know every man the plague of his own heart, and spread forth his hands toward this house:",sadness
52,joshua_9_3,"And when the inhabitants of Gibeon heard what Joshua had done unto Jericho and to Ai,",surprise
53,joshua_2_17,"And the men said unto her, We will be blameless of this thine oath which thou hast made us swear.",neutral
54,habakkuk_3_11,"The sun and moon stood still in their habitation: at the light of thine arrows they went, and at the shining of thy glittering spear.",surprise
55,genesis_22_20,"And it came to pass after these things, that it was told Abraham, saying, Behold, Milcah, she hath also born children unto thy brother Nahor;",neutral
56,acts_21_5,"And when we had accomplished those days, we departed and went our way; and they all brought us on our way, with wives and children, till we were out of the city: and we kneeled down on the shore, and prayed.",sadness
57,1_samuel_14_5,"The forefront of the one was situate northward over against Michmash, and the other southward over against Gibeah.",neutral
58,jeremiah_8_14,"Why do we sit still? assemble yourselves, and let us enter into the defenced cities, and let us be silent there: for the LORD our God hath put us to silence, and given us water of gall to drink, because we have sinned against the LORD.",fear
59,isaiah_58_9,"Then shalt thou call, and the LORD shall answer; thou shalt cry, and he shall say, Here I am. If thou take away from the midst of thee the yoke, the putting forth of the finger, and speaking vanity;",joy
60,judges_5_10,"Speak, ye that ride on white asses, ye that sit in judgment, and walk by the way.",neutral
61,daniel_8_21,And the rough goat is the king of Grecia: and the great horn that is between his eyes is the first king.,neutral
62,numbers_33_32,"And they removed from Bene-jaakan, and encamped at Hor-hagidgad.",neutral
63,judges_6_36,"And Gideon said unto God, If thou wilt save Israel by mine hand, as thou hast said,",fear
64,psalms_145_16,"Thou openest thine hand, and satisfiest the desire of every living thing.",joy
