id,verse_id,verse,label
0,luke_11_9,"And I say unto you, Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you.",joy
1,2_corinthians_13_12,Greet one another with an holy kiss.,joy
2,ezekiel_14_19,"Or if I send a pestilence into that land, and pour out my fury upon it in blood, to cut off from it man and beast:",anger
3,exodus_31_6,"And I, behold, I have given with him Aholiab, the son of Ahisamach, of the tribe of Dan: and in the hearts of all that are wise hearted I have put wisdom, that they may make all that I have commanded thee;",neutral
4,psalms_63_7,"Because thou hast been my help, therefore in the shadow of thy wings will I rejoice.",joy
5,psalms_68_10,"Thy congregation hath dwelt therein: thou, O God, hast prepared of thy goodness for the poor.",joy
6,romans_2_7,"To them who by patient continuance in well doing seek for glory and honour and immortality, eternal life:",joy
7,1_kings_17_16,"And the barrel of meal wasted not, neither did the cruse of oil fail, according to the word of the LORD, which he spake by Elijah.",joy
8,judges_20_18,"And the children of Israel arose, and went up to the house of God, and asked counsel of God, and said, Which of us shall go up first to the battle against the children of Benjamin? And the LORD said, Judah shall go up first.",neutral
9,numbers_15_34,"And they put him in ward, because it was not declared what should be done to him.",neutral
10,psalms_56_8,Thou tellest my wanderings: put thou my tears into thy bottle: are they not in thy book?,sadness
11,job_34_20,"In a moment shall they die, and the people shall be troubled at midnight, and pass away: and the mighty shall be taken away without hand.",fear
12,leviticus_27_30,"And all the tithe of the land, whether of the seed of the land, or of the fruit of the tree, is the LORD'S: it is holy unto the LORD.",neutral
13,matthew_26_48,"Now he that betrayed him gave them a sign, saying, Whomsoever I shall kiss, that same is he: hold him fast.",anger
14,ezekiel_27_3,"And say unto Tyrus, O thou that art situate at the entry of the sea, which art a merchant of the people for many isles, Thus saith the Lord GOD; O Tyrus, thou hast said, I am of perfect beauty.",surprise
15,mark_13_5,"And Jesus answering them began to say, Take heed lest any man deceive you:",fear
16,psalms_150_4,Praise him with the timbrel and dance: praise him with stringed instruments and organs.,joy
17,joshua_7_7,"And Joshua said, Alas, O Lord GOD, wherefore hast thou at all brought this people over Jordan, to deliver us into the hand of the Amorites, to destroy us? would to God we had been content, and dwelt on the other side Jordan!",sadness
18,luke_11_43,"Woe unto you, Pharisees! for ye love the uppermost seats in the synagogues, and greetings in the markets.",anger
19,numbers_10_21,"And the Kohathites set forward, bearing the sanctuary: and the other did set up the tabernacle against they came.",neutral
20,jeremiah_14_1,The word of the LORD that came to Jeremiah concerning the dearth.,sadness
21,ezekiel_25_3,"And say unto the Ammonites, Hear the word of the Lord GOD; Thus saith the Lord GOD; Because thou saidst, Aha, against my sanctuary, when it was profaned; and against the land of Israel, when it was desolate; and against the house of Judah, when they went into captivity;",anger
22,jeremiah_6_22,"Thus saith the LORD, Behold, a people cometh from the north country, and a great nation shall be raised from the sides of the earth.",fear
23,genesis_17_15,"And God said unto Abraham, As for Sarai thy wife, thou shalt not call her name Sarai, but Sarah shall her name be.",surprise
24,numbers_34_10,And ye shall point out your east border from Hazar-enan to Shepham:,neutral
25,mark_1_37,"And when they had found him, they said unto him, All men seek for thee.",surprise
26,daniel_8_23,"And in the latter time of their kingdom, when the transgressors are come to the full, a king of fierce countenance, and understanding dark sentences, shall stand up.",fear
27,psalms_88_11,Shall thy lovingkindness be declared in the grave? or thy faithfulness in destruction?,sadness
28,job_39_27,"Doth the eagle mount up at thy command, and make her nest on high?",surprise
29,judges_21_9,"For the people were numbered, and, behold, there were none of the inhabitants of Jabesh-gilead there.",surprise
30,1_kings_18_4,"For it was so, when Jezebel cut off the prophets of the LORD, that Obadiah took an hundred prophets, and hid them by fifty in a cave, and fed them with bread and water.)",fear
31,ezekiel_41_3,"Then went he inward, and measured the post of the door, two cubits; and the door, six cubits; and the breadth of the door, seven cubits.",neutral
32,ecclesiastes_10_6,"Folly is set in great dignity, and the rich sit in low place.",disgust
33,genesis_15_9,"And he said unto him, Take me an heifer of three years old, and a she goat of three years old, and a ram of three years old, and a turtledove, and a young pigeon.",neutral
34,proverbs_6_5,"Deliver thyself as a roe from the hand of the hunter, and as a bird from the hand of the fowler.",fear
35,jeremiah_6_26,"O daughter of my people, gird thee with sackcloth, and wallow thyself in ashes: make thee mourning, as for an only son, most bitter lamentation: for the spoiler shall suddenly come upon us.",sadness
36,genesis_21_3,"And Abraham called the name of his son that was born unto him, whom Sarah bare to him, Isaac.",joy
37,john_7_4,"For there is no man that doeth any thing in secret, and he himself seeketh to be known openly. If thou do these things, shew thyself to the world.",neutral
38,numbers_26_55,Notwithstanding the land shall be divided by lot: according to the names of the tribes of their fathers they shall inherit.,neutral
39,ezra_5_8,"Be it known unto the king, that we went into the province of Judea, to the house of the great God, which is builded with great stones, and timber is laid in the walls, and this work goeth fast on, and prospereth in their hands.",joy
40,deuteronomy_1_25,"And they took of the fruit of the land in their hands, and brought it down unto us, and brought us word again, and said, It is a good land which the LORD our God doth give us.",joy
41,psalms_18_49,"Therefore will I give thanks unto thee, O LORD, among the heathen, and sing praises unto thy name.",joy
42,numbers_5_29,"This is the law of jealousies, when a wife goeth aside to another instead of her husband, and is defiled;",disgust
43,john_10_36,"Say ye of him, whom the Father hath sanctified, and sent into the world, Thou blasphemest; because I said, I am the Son of God?",anger
44,psalms_102_3,"For my days are consumed like smoke, and my bones are burned as an hearth.",sadness
45,numbers_2_4,"And his host, and those that were numbered of them, were threescore and fourteen thousand and six hundred.",neutral
46,matthew_9_4,"And Jesus knowing their thoughts said, Wherefore think ye evil in your hearts?",disgust
47,isaiah_50_4,"The Lord GOD hath given me the tongue of the learned, that I should know how to speak a word in season to him that is weary: he wakeneth morning by morning, he wakeneth mine ear to hear as the learned.",joy
48,job_6_7,The things that my soul refused to touch are as my sorrowful meat.,disgust
49,jeremiah_23_1,Woe be unto the pastors that destroy and scatter the sheep of my pasture! saith the LORD.,anger
50,1_chronicles_6_18,"And the sons of Kohath were, Amram, and Izhar, and Hebron, and Uzziel.",neutral
51,ezekiel_23_2,"Son of man, there were two women, the daughters of one mother:",neutral
52,esther_1_6,"Where were white, green, and blue, hangings, fastened with cords of fine linen and purple to silver rings and pillars of marble: the beds were of gold and silver, upon a pavement of red, and blue, and white, and black, marble.",neutral
53,john_1_44,"Now Philip was of Bethsaida, the city of Andrew and Peter.",neutral
54,isaiah_44_6,"Thus saith the LORD the King of Israel, and his redeemer the LORD of hosts; I am the first, and I am the last; and beside me there is no God.",joy
55,genesis_49_33,"And when Jacob had made an end of commanding his sons, he gathered up his feet into the bed, and yielded up the ghost, and was gathered unto his people.",sadness
56,job_39_10,Canst thou bind the unicorn with his band in the furrow? or will he harrow the valleys after thee?,surprise
57,job_5_10,"Who giveth rain upon the earth, and sendeth waters upon the fields:",joy
58,jeremiah_50_46,"At the noise of the taking of Babylon the earth is moved, and the cry is heard among the nations.",fear
59,zephaniah_3_1,"Woe to her that is filthy and polluted, to the oppressing city!",disgust
60,jonah_3_4,"And Jonah began to enter into the city a day's journey, and he cried, and said, Yet forty days, and Nineveh shall be overthrown.",fear
61,matthew_1_17,So all the generations from Abraham to David are fourteen generations; and from David until the carrying away into Babylon are fourteen generations; and from the carrying away into Babylon unto Christ are fourteen generations.,neutral
62,2_kings_22_12,"And the king commanded Hilkiah the priest, and Ahikam the son of Shaphan, and Achbor the son of Michaiah, and Shaphan the scribe, and Asahiah a servant of the king's, saying,",neutral
63,2_chronicles_2_9,Even to prepare me timber in abundance: for the house which I am about to build shall be wonderful great.,joy
64,1_kings_18_23,"Let them therefore give us two bullocks; and let them choose one bullock for themselves, and cut it in pieces, and lay it on wood, and put no fire under: and I will dress the other bullock, and lay it on wood, and put no fire under:",neutral
65,numbers_7_31,"His offering was one silver charger of the weight of an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:",neutral
66,colossians_2_2,"That their hearts might be comforted, being knit together in love, and unto all riches of the full assurance of understanding, to the acknowledgement of the mystery of God, and of the Father, and of Christ;",joy
67,genesis_15_20,"And the Hittites, and the Perizzites, and the Rephaims,",neutral
68,ruth_2_20,"And Naomi said unto her daughter in law, Blessed be he of the LORD, who hath not left off his kindness to the living and to the dead. And Naomi said unto her, The man is near of kin unto us, one of our next kinsmen.",joy
69,ezra_6_12,"And the God that hath caused his name to dwell there destroy all kings and people, that shall put to their hand to alter and to destroy this house of God which is at Jerusalem. I Darius have made a decree; let it be done with speed.",anger
70,2_samuel_6_12,"And it was told king David, saying, The LORD hath blessed the house of Obed-edom, and all that pertaineth unto him, because of the ark of God. So David went and brought up the ark of God from the house of Obed-edom into the city of David with gladness.",joy
71,2_kings_19_18,"And have cast their gods into the fire: for they were no gods, but the work of men's hands, wood and stone: therefore they have destroyed them.",anger
72,exodus_5_2,"And Pharaoh said, Who is the LORD, that I should obey his voice to let Israel go? I know not the LORD, neither will I let Israel go.",anger
73,deuteronomy_10_12,"And now, Israel, what doth the LORD thy God require of thee, but to fear the LORD thy God, to walk in all his ways, and to love him, and to serve the LORD thy God with all thy heart and with all thy soul,",joy
74,genesis_40_15,For indeed I was stolen away out of the land of the Hebrews: and here also have I done nothing that they should put me into the dungeon.,sadness
75,numbers_11_30,"And Moses gat him into the camp, he and the elders of Israel.",neutral
76,2_samuel_21_8,"But the king took the two sons of Rizpah the daughter of Aiah, whom she bare unto Saul, Armoni and Mephibosheth; and the five sons of Michal the daughter of Saul, whom she brought up for Adriel the son of Barzillai the Meholathite:",neutral
77,leviticus_18_25,"And the land is defiled: therefore I do visit the iniquity thereof upon it, and the land itself vomiteth out her inhabitants.",disgust
78,1_samuel_25_25,"Let not my lord, I pray thee, regard this man of Belial, even Nabal: for as his name is, so is he; Nabal is his name, and folly is with him: but I thine handmaid saw not the young men of my lord, whom thou didst send.",disgust
79,luke_9_19,"They answering said, John the Baptist; but some say, Elias; and others say, that one of the old prophets is risen again.",neutral
80,leviticus_10_9,"Do not drink wine nor strong drink, thou, nor thy sons with thee, when ye go into the tabernacle of the congregation, lest ye die: it shall be a statute for ever throughout your generations:",fear
81,luke_8_4,"And when much people were gathered together, and were come to him out of every city, he spake by a parable:",neutral
82,ecclesiastes_8_7,For he knoweth not that which shall be: for who can tell him when it shall be?,fear
83,revelation_3_1,"And unto the angel of the church in Sardis write; These things saith he that hath the seven Spirits of God, and the seven stars; I know thy works, that thou hast a name that thou livest, and art dead.",sadness
84,zechariah_2_4,"And said unto him, Run, speak to this young man, saying, Jerusalem shall be inhabited as towns without walls for the multitude of men and cattle therein:",joy
85,deuteronomy_11_27,"A blessing, if ye obey the commandments of the LORD your God, which I command you this day:",joy
86,proverbs_20_20,"Whoso curseth his father or his mother, his lamp shall be put out in obscure darkness.",anger
87,zephaniah_2_15,"This is the rejoicing city that dwelt carelessly, that said in her heart, I am, and there is none beside me: how is she become a desolation, a place for beasts to lie down in! every one that passeth by her shall hiss, and wag his hand.",sadness
88,numbers_13_17,"And Moses sent them to spy out the land of Canaan, and said unto them, Get you up this way southward, and go up into the mountain:",neutral
89,numbers_31_11,"And they took all the spoil, and all the prey, both of men and of beasts.",neutral
90,2_samuel_18_22,"Then said Ahimaaz the son of Zadok yet again to Joab, But howsoever, let me, I pray thee, also run after Cushi. And Joab said, Wherefore wilt thou run, my son, seeing that thou hast no tidings ready?",surprise
91,jeremiah_22_1,"Thus saith the LORD; Go down to the house of the king of Judah, and speak there this word,",neutral
92,1_chronicles_16_5,"Asaph the chief, and next to him Zechariah, Jeiel, and Shemiramoth, and Jehiel, and Mattithiah, and Eliab, and Benaiah, and Obed-edom: and Jeiel with psalteries and with harps; but Asaph made a sound with cymbals;",joy
93,isaiah_5_24,"Therefore as the fire devoureth the stubble, and the flame consumeth the chaff, so their root shall be as rottenness, and their blossom shall go up as dust: because they have cast away the law of the LORD of hosts, and despised the word of the Holy One of Israel.",anger
94,1_samuel_16_20,"And Jesse took an ass laden with bread, and a bottle of wine, and a kid, and sent them by David his son unto Saul.",neutral
95,1_kings_18_29,"And it came to pass, when midday was past, and they prophesied until the time of the offering of the evening sacrifice, that there was neither voice, nor any to answer, nor any that regarded.",sadness
96,acts_9_41,"And he gave her his hand, and lifted her up, and when he had called the saints and widows, presented her alive.",joy
97,psalms_32_10,"Many sorrows shall be to the wicked: but he that trusteth in the LORD, mercy shall compass him about.",sadness
98,jeremiah_49_30,"Flee, get you far off, dwell deep, O ye inhabitants of Hazor, saith the LORD; for Nebuchadrezzar king of Babylon hath taken counsel against you, and hath conceived a purpose against you.",fear
99,acts_4_31,"And when they had prayed, the place was shaken where they were assembled together; and they were all filled with the Holy Ghost, and they spake the word of God with boldness.",joy
100,jeremiah_46_19,"O thou daughter dwelling in Egypt, furnish thyself to go into captivity: for Noph shall be waste and desolate without an inhabitant.",sadness
101,john_8_39,"They answered and said unto him, Abraham is our father. Jesus saith unto them, If ye were Abraham's children, ye would do the works of Abraham.",anger
102,deuteronomy_19_3,"Thou shalt prepare thee a way, and divide the coasts of thy land, which the LORD thy God giveth thee to inherit, into three parts, that every slayer may flee thither.",neutral
103,genesis_10_16,"And the Jebusite, and the Amorite, and the Girgasite,",neutral
104,mark_1_1,"The beginning of the gospel of Jesus Christ, the Son of God;",joy
105,genesis_14_1,"And it came to pass in the days of Amraphel king of Shinar, Arioch king of Ellasar, Chedorlaomer king of Elam, and Tidal king of nations;",neutral
106,ezekiel_17_19,"Therefore thus saith the Lord GOD; As I live, surely mine oath that he hath despised, and my covenant that he hath broken, even it will I recompense upon his own head.",anger
107,romans_2_23,"Thou that makest thy boast of the law, through breaking the law dishonourest thou God?",disgust
108,john_5_28,"Marvel not at this: for the hour is coming, in the which all that are in the graves shall hear his voice,",surprise
109,psalms_78_56,"Yet they tempted and provoked the most high God, and kept not his testimonies:",anger
110,romans_15_10,"And again he saith, Rejoice, ye Gentiles, with his people.",joy
111,nehemiah_4_10,"And Judah said, The strength of the bearers of burdens is decayed, and there is much rubbish; so that we are not able to build the wall.",sadness
112,ezekiel_10_3,"Now the cherubims stood on the right side of the house, when the man went in; and the cloud filled the inner court.",neutral
113,psalms_9_1,"I will praise thee, O LORD, with my whole heart; I will shew forth all thy marvellous works.",joy
114,romans_6_18,"Being then made free from sin, ye became the servants of righteousness.",joy
115,1_chronicles_23_30,"And to stand every morning to thank and praise the LORD, and likewise at even;",joy
116,joshua_22_33,"And the thing pleased the children of Israel; and the children of Israel blessed God, and did not intend to go up against them in battle, to destroy the land wherein the children of Reuben and Gad dwelt.",joy
117,acts_7_37,"This is that Moses, which said unto the children of Israel, A prophet shall the Lord your God raise up unto you of your brethren, like unto me; him shall ye hear.",neutral
118,genesis_11_21,"And Reu lived after he begat Serug two hundred and seven years, and begat sons and daughters.",neutral
119,job_3_11,Why died I not from the womb? why did I not give up the ghost when I came out of the belly?,sadness
120,judges_9_43,"And he took the people, and divided them into three companies, and laid wait in the field, and looked, and, behold, the people were come forth out of the city; and he rose up against them, and smote them.",anger
121,judges_15_19,"But God clave an hollow place that was in the jaw, and there came water thereout; and when he had drunk, his spirit came again, and he revived: wherefore he called the name thereof En-hakkore, which is in Lehi unto this day.",joy
122,job_21_33,"The clods of the valley shall be sweet unto him, and every man shall draw after him, as there are innumerable before him.",sadness
123,isaiah_45_21,"Tell ye, and bring them near; yea, let them take counsel together: who hath declared this from ancient time? who hath told it from that time? have not I the LORD? and there is no God else beside me; a just God and a Saviour; there is none beside me.",joy
