id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,abdias,1,1,La humillación de Edom,"Visión de Abdías. Jehová el Señor ha dicho así en cuanto a Edom: Hemos oído el pregón de Jehová, y mensajero ha sido enviado a las naciones. Levantaos, y levantémonos contra este pueblo en batalla.",abdias_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,fe;miedo;esperanza,Miedo
2,abdias,1,2,La humillación de Edom,"He aquí, pequeño te he hecho entre las naciones; estás abatido en gran manera.",abdias_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,fe,Ira
3,abdias,1,3,La humillación de Edom,"La soberbia de tu corazón te ha engañado, tú que moras en las hendiduras de las peñas, en tu altísima morada; que dices en tu corazón: ¿Quién me derribará a tierra?",abdias_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,,Ira
4,abdias,1,4,La humillación de Edom,"Si te remontares como águila, y aunque entre las estrellas pusieres tu nido, de ahí te derribaré, dice Jehová.",abdias_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,esperanza;miedo,Ira
5,abdias,1,5,La humillación de Edom,"Si ladrones vinieran a ti, o robadores de noche (¡cómo has sido destruido!), ¿no hurtarían lo que les bastase? Si entraran a ti vendimiadores, ¿no dejarían algún rebusco?",abdias_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,miedo,Miedo
6,abdias,1,6,La humillación de Edom,¡Cómo fueron escudriñadas las cosas de Esaú! Sus tesoros escondidos fueron buscados.,abdias_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,,Sorpresa
7,abdias,1,7,La humillación de Edom,Todos tus aliados te han engañado; hasta los confines te hicieron llegar; los que estaban en paz contigo prevalecieron contra ti; los que comían tu pan pusieron lazo debajo de ti; no hay en ello entendimiento.,abdias_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,miedo,Asco
8,abdias,1,8,La humillación de Edom,"¿No haré que perezcan en aquel día, dice Jehová, los sabios de Edom, y la prudencia del monte de Esaú?",abdias_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,miedo;fe,Miedo
9,abdias,1,9,La humillación de Edom,"Y tus valientes, oh Temán, serán amedrentados; porque todo hombre será cortado del monte de Esaú por el estrago.",abdias_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,miedo;fe,Tristeza
10,abdias,1,10,La humillación de Edom,"Por la injuria a tu hermano Jacob te cubrirá vergüenza, y serás cortado para siempre.",abdias_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,miedo,Ira
11,abdias,1,11,La humillación de Edom,"El día que estando tú delante, llevaban extraños cautivo su ejército, y extraños entraban por sus puertas, y echaban suertes sobre Jerusalén, tú también eras como uno de ellos.",abdias_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,miedo;fe;perdón,Asco
12,abdias,1,12,La humillación de Edom,"Pues no debiste tú haber estado mirando en el día de tu hermano, en el día de su infortunio; no debiste haberte alegrado de los hijos de Judá en el día en que se perdieron, ni debiste haberte jactado en el día de la angustia.",abdias_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,miedo,Alegría
13,abdias,1,13,La humillación de Edom,"No debiste haber entrado por la puerta de mi pueblo en el día de su quebrantamiento; no, no debiste haber mirado su mal en el día de su quebranto, ni haber echado mano a sus bienes en el día de su calamidad.",abdias_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,miedo,Tristeza
14,abdias,1,14,La humillación de Edom,Tampoco debiste haberte parado en las encrucijadas para matar a los que de ellos escapasen; ni debiste haber entregado a los que quedaban en el día de angustia.,abdias_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,miedo,Miedo
15,abdias,1,15,La exaltación de Israel,Porque cercano está el día de Jehová sobre todas las naciones; como tú hiciste se hará contigo; tu recompensa volverá sobre tu cabeza.,abdias_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=abdias&capitulo=1&version=rv60,fe;miedo;esperanza,Alegría
