id,verse_id,label
0,judges_9_40,fear
1,genesis_18_3,joy
2,daniel_10_4,neutral
3,jeremiah_31_9,sadness
4,romans_8_31,joy
5,isaiah_24_17,fear
6,matthew_5_24,neutral
7,hebrews_11_35,joy
8,1_corinthians_1_25,neutral
9,1_kings_22_29,neutral
10,psalms_86_2,fear
11,joshua_18_28,neutral
12,2_chronicles_22_2,neutral
13,deuteronomy_32_15,disgust
14,nehemiah_12_26,neutral
15,proverbs_30_6,anger
16,genesis_11_2,neutral
17,numbers_32_30,neutral
18,exodus_34_29,surprise
19,exodus_36_26,neutral
20,1_kings_9_18,neutral
21,jeremiah_32_40,fear
22,acts_6_12,anger
23,genesis_34_26,anger
24,proverbs_5_22,disgust
25,nehemiah_8_8,joy
26,1_kings_14_9,anger
27,joshua_10_34,neutral
28,jeremiah_3_10,disgust
29,acts_9_14,fear
30,1_kings_20_17,neutral
31,luke_5_23,surprise
32,psalms_135_19,joy
33,job_37_5,surprise
34,psalms_50_3,fear
35,isaiah_19_23,joy
36,acts_21_31,fear
37,esther_3_7,neutral
38,revelation_13_11,surprise
39,1_kings_11_30,surprise
40,luke_14_18,neutral
41,leviticus_22_27,neutral
42,romans_2_17,neutral
43,lamentations_2_18,sadness
44,psalms_81_2,joy
45,1_kings_4_21,joy
46,genesis_34_11,neutral
47,joel_1_5,sadness
48,isaiah_45_21,neutral
49,psalms_104_34,joy
50,2_peter_3_8,neutral
51,proverbs_7_24,neutral
52,numbers_3_26,neutral
53,1_samuel_25_37,fear
54,2_chronicles_23_21,joy
55,romans_8_15,joy
56,genesis_44_18,fear
57,amos_7_2,sadness
58,jeremiah_45_5,fear
59,ezekiel_24_19,surprise
60,ezra_2_39,neutral
61,2_timothy_2_15,neutral
62,isaiah_27_11,anger
63,acts_19_25,neutral
64,job_36_20,sadness
65,psalms_78_2,neutral
66,2_samuel_14_17,joy
67,2_kings_13_23,joy
68,psalms_92_9,anger
69,psalms_147_12,joy
70,hebrews_5_14,neutral
71,leviticus_22_21,neutral
72,ezekiel_25_12,anger
73,2_samuel_13_17,anger
74,ezra_2_51,neutral
75,mark_1_43,neutral
76,exodus_10_25,neutral
77,ezra_8_21,fear
78,2_samuel_9_1,joy
79,ephesians_4_31,anger
80,mark_14_54,fear
81,ezekiel_10_11,neutral
82,leviticus_23_22,joy
83,1_chronicles_28_4,joy
84,genesis_2_9,joy
85,isaiah_33_5,joy
86,revelation_18_15,fear
87,2_samuel_14_2,sadness
88,2_samuel_15_36,neutral
89,numbers_29_37,neutral
90,haggai_2_20,neutral
91,2_kings_9_4,neutral
92,1_chronicles_21_9,neutral
93,proverbs_12_10,disgust
94,judges_14_5,fear
95,acts_12_5,joy
96,micah_3_11,disgust
97,isaiah_36_4,surprise
98,judges_5_3,joy
99,proverbs_5_15,neutral
100,exodus_37_25,neutral
101,deuteronomy_32_16,anger
102,1_samuel_25_7,neutral
103,luke_23_9,surprise
104,leviticus_10_5,neutral
105,ezra_2_20,neutral
106,matthew_18_20,joy
107,leviticus_5_14,neutral
108,mark_6_54,surprise
109,judges_7_7,surprise
110,2_chronicles_33_1,neutral
111,acts_19_41,neutral
112,2_samuel_8_2,neutral
113,psalms_61_7,joy
114,2_samuel_1_22,anger
115,1_thessalonians_5_9,joy
116,genesis_36_19,neutral
117,zephaniah_2_8,anger
118,deuteronomy_22_8,neutral
119,2_samuel_1_8,neutral
120,luke_11_31,anger
121,2_chronicles_13_10,joy
122,jeremiah_2_23,disgust
123,isaiah_54_7,joy
124,numbers_16_23,neutral
125,luke_11_27,joy
126,isaiah_43_4,joy
127,isaiah_5_1,joy
128,judges_16_25,disgust
129,joshua_23_13,fear
130,isaiah_5_11,disgust
131,joshua_21_20,neutral
132,ecclesiastes_8_9,sadness
133,exodus_34_19,neutral
134,1_kings_15_30,anger
135,genesis_30_16,neutral
136,ezra_3_5,joy
137,acts_8_6,surprise
138,judges_10_13,anger
139,deuteronomy_32_21,anger
140,proverbs_27_8,sadness
141,genesis_41_23,sadness
142,1_chronicles_1_8,neutral
143,2_peter_1_17,joy
144,colossians_4_9,joy
145,exodus_10_15,fear
146,genesis_48_6,neutral
147,revelation_6_3,surprise
148,luke_12_59,anger
149,proverbs_21_13,sadness
150,luke_8_36,surprise
151,revelation_18_11,sadness
152,1_chronicles_1_45,neutral
153,isaiah_33_21,joy
154,exodus_30_3,neutral
155,acts_13_49,joy
156,leviticus_23_21,joy
157,numbers_28_15,neutral
158,exodus_21_26,anger
159,1_samuel_23_20,fear
160,mark_2_23,neutral
161,jeremiah_16_21,surprise
162,isaiah_23_16,sadness
163,psalms_119_145,sadness
164,1_thessalonians_5_11,joy
165,jeremiah_3_4,sadness
166,joshua_2_20,fear
167,leviticus_25_14,neutral
168,acts_20_9,surprise
169,daniel_7_25,fear
170,ecclesiastes_9_1,neutral
171,proverbs_25_17,disgust
172,1_kings_13_15,neutral
173,proverbs_12_28,joy
174,1_chronicles_9_32,neutral
175,1_samuel_20_26,fear
176,psalms_146_5,joy
177,deuteronomy_32_8,neutral
178,luke_12_31,joy
179,genesis_4_4,joy
180,jeremiah_38_13,joy
181,john_14_30,fear
182,job_15_10,neutral
183,hebrews_13_16,joy
184,deuteronomy_27_6,neutral
185,james_2_10,anger
186,isaiah_63_2,surprise
187,2_samuel_15_11,neutral
188,numbers_3_7,neutral
189,psalms_95_6,joy
190,psalms_46_9,joy
191,ezekiel_20_48,anger
192,2_kings_4_35,surprise
193,2_samuel_17_22,neutral
194,joshua_8_33,neutral
195,psalms_119_112,joy
196,2_kings_22_17,anger
197,acts_4_1,surprise
198,judges_16_8,anger
199,1_corinthians_10_29,anger
200,1_kings_19_20,sadness
201,psalms_77_1,sadness
202,deuteronomy_28_61,fear
203,leviticus_13_45,disgust
204,colossians_3_25,anger
205,joshua_24_3,joy
206,john_18_26,fear
207,jeremiah_22_17,anger
208,genesis_16_4,disgust
209,amos_9_1,anger
210,romans_16_27,joy
211,exodus_14_3,fear
212,psalms_18_48,joy
213,jeremiah_11_8,anger
214,1_kings_11_27,anger
215,revelation_12_6,fear
216,2_kings_14_24,anger
217,2_chronicles_34_31,joy
218,song_of_solomon_1_12,joy
219,exodus_32_27,anger
220,jeremiah_3_23,sadness
221,deuteronomy_29_4,neutral
222,jeremiah_32_19,neutral
223,2_kings_17_24,neutral
224,numbers_29_13,neutral
225,nehemiah_11_2,joy
226,revelation_7_14,surprise
227,jonah_2_10,surprise
228,ezekiel_11_16,joy
229,genesis_14_17,neutral
230,job_42_15,joy
231,exodus_39_2,neutral
232,1_samuel_9_11,neutral
233,ezekiel_47_19,neutral
234,judges_9_26,confidence
235,isaiah_1_11,disgust
236,psalms_56_9,joy
237,luke_7_3,neutral
238,matthew_9_30,surprise
239,psalms_104_1,joy
240,jeremiah_32_42,surprise
241,ezra_3_3,fear
242,micah_1_10,sadness
243,deuteronomy_34_8,sadness
244,numbers_11_33,anger
245,1_john_4_19,joy
246,psalms_72_16,joy
247,proverbs_8_28,neutral
248,numbers_22_14,sadness
249,2_chronicles_24_7,anger
250,isaiah_36_21,neutral
251,matthew_27_19,fear
252,1_kings_18_6,neutral
253,job_26_8,neutral
254,matthew_5_17,neutral
255,judges_12_5,neutral
256,genesis_41_16,neutral
257,mark_3_1,neutral
258,leviticus_17_1,neutral
259,zephaniah_1_4,anger
260,ezekiel_26_11,anger
261,luke_9_42,surprise
262,2_samuel_11_20,anger
263,lamentations_2_15,sadness
264,2_samuel_6_6,surprise
265,zechariah_2_4,joy
266,psalms_48_8,joy
267,2_peter_2_12,disgust
268,jeremiah_6_13,disgust
269,numbers_36_9,neutral
270,2_samuel_22_27,disgust
271,ezekiel_12_10,neutral
272,1_chronicles_16_6,joy
273,revelation_22_8,surprise
274,mark_12_27,neutral
275,deuteronomy_21_17,neutral
276,job_17_5,sadness
277,john_1_11,sadness
278,job_32_5,anger
279,psalms_121_6,joy
280,leviticus_15_13,neutral
281,jeremiah_12_16,joy
282,job_41_31,surprise
283,numbers_3_39,neutral
284,galatians_6_9,joy
285,2_samuel_6_12,joy
286,hebrews_13_20,joy
287,proverbs_23_10,neutral
288,numbers_23_4,neutral
289,genesis_29_12,surprise
290,2_corinthians_3_2,joy
291,deuteronomy_27_12,joy
292,1_corinthians_9_1,joy
293,jeremiah_32_43,sadness
294,genesis_1_16,neutral
295,1_chronicles_19_2,joy
296,jeremiah_6_19,anger
297,ezekiel_32_12,anger
298,luke_9_13,surprise
299,isaiah_66_21,neutral
300,numbers_16_25,neutral
301,ephesians_6_20,neutral
302,genesis_30_39,neutral
303,john_13_37,joy
304,numbers_32_40,neutral
305,job_21_18,sadness
306,joshua_12_4,neutral
307,jeremiah_17_14,sadness
308,ezekiel_43_3,surprise
309,1_chronicles_24_19,neutral
310,2_chronicles_18_3,neutral
311,psalms_43_1,sadness
312,matthew_13_13,sadness
313,matthew_21_26,fear
314,jeremiah_49_13,anger
315,genesis_31_16,neutral
316,john_4_32,surprise
317,ezekiel_44_2,neutral
318,1_kings_12_9,neutral
319,john_13_1,joy
320,judges_12_2,anger
321,ezra_8_5,neutral
322,exodus_27_12,neutral
323,1_chronicles_16_3,joy
324,1_samuel_25_9,neutral
325,micah_3_7,sadness
326,2_chronicles_32_20,sadness
327,deuteronomy_32_39,surprise
328,ezra_6_1,neutral
329,1_samuel_23_5,joy
330,colossians_2_8,anger
331,2_chronicles_8_11,neutral
332,proverbs_30_32,neutral
333,psalms_119_62,joy
334,revelation_22_2,joy
335,job_9_8,neutral
336,matthew_13_55,surprise
337,john_11_49,neutral
338,psalms_136_1,joy
339,hebrews_12_2,joy
340,1_kings_22_21,neutral
341,1_kings_22_28,neutral
342,1_chronicles_11_22,surprise
343,deuteronomy_14_23,fear
344,ezekiel_27_36,fear
345,luke_23_25,sadness
346,luke_5_20,joy
347,genesis_10_12,neutral
348,exodus_25_24,neutral
349,job_2_10,sadness
350,acts_14_23,joy
351,1_chronicles_3_8,neutral
352,luke_24_20,sadness
353,2_kings_6_1,neutral
354,2_kings_4_6,surprise
355,leviticus_26_45,joy
356,jeremiah_7_1,neutral
357,acts_13_43,joy
358,proverbs_20_16,neutral
359,zechariah_4_7,joy
360,proverbs_19_16,neutral
361,2_samuel_13_35,neutral
362,luke_11_11,neutral
363,ezekiel_18_1,neutral
364,judges_17_8,neutral
365,exodus_26_16,neutral
366,matthew_25_40,joy
367,psalms_31_12,sadness
368,psalms_71_16,joy
369,ezekiel_48_24,neutral
370,ezekiel_7_19,anger
371,1_kings_22_38,disgust
372,genesis_6_9,joy
373,luke_12_10,neutral
374,galatians_3_22,joy
375,leviticus_23_39,joy
376,isaiah_28_27,neutral
377,2_samuel_20_7,neutral
378,deuteronomy_16_8,neutral
379,1_chronicles_3_18,neutral
380,2_thessalonians_3_1,joy
381,1_kings_7_44,neutral
382,numbers_10_27,neutral
383,1_chronicles_23_3,neutral
384,2_chronicles_18_2,joy
385,1_kings_21_26,disgust
386,ezra_10_24,neutral
387,ezekiel_20_49,neutral
388,judges_4_7,joy
389,1_samuel_6_6,anger
390,2_chronicles_2_15,neutral
391,revelation_20_11,fear
392,exodus_30_35,neutral
393,psalms_32_1,joy
394,judges_19_25,disgust
395,1_corinthians_9_26,neutral
396,1_corinthians_7_40,joy
397,numbers_8_17,neutral
398,job_31_35,sadness
399,numbers_10_18,neutral
400,luke_13_14,anger
401,ephesians_2_16,joy
402,1_chronicles_9_24,neutral
403,acts_8_19,surprise
404,psalms_2_3,anger
405,2_chronicles_15_7,joy
406,isaiah_46_1,sadness
407,deuteronomy_10_8,neutral
408,1_samuel_18_10,anger
409,proverbs_7_3,neutral
410,numbers_35_28,neutral
411,jeremiah_43_8,neutral
412,habakkuk_3_13,joy
413,exodus_4_22,joy
414,ezekiel_16_5,sadness
415,exodus_9_23,surprise
416,john_6_60,surprise
417,nehemiah_2_11,neutral
418,amos_5_26,anger
419,exodus_22_4,neutral
420,numbers_16_11,anger
421,matthew_26_72,fear
422,1_samuel_2_25,anger
423,colossians_2_12,joy
424,isaiah_40_21,surprise
425,matthew_9_29,joy
426,1_kings_10_28,neutral
427,titus_2_3,neutral
428,proverbs_18_9,disgust
429,joshua_8_11,neutral
430,jeremiah_28_6,joy
431,isaiah_2_6,disgust
432,jeremiah_18_15,sadness
433,2_chronicles_15_18,neutral
434,genesis_21_18,joy
435,psalms_37_36,sadness
436,mark_10_23,sadness
437,romans_9_11,neutral
438,psalms_118_2,joy
439,1_kings_12_5,neutral
440,lamentations_2_10,sadness
441,ezekiel_20_32,anger
442,ezekiel_7_5,fear
443,john_19_7,anger
444,ezekiel_19_3,anger
445,genesis_4_17,neutral
