0,song_of_solomon_5_16,joy
1,jeremiah_7_6,anger
2,galatians_6_14,joy
3,jeremiah_32_21,fear
4,matthew_17_24,neutral
5,genesis_22_12,fear
6,acts_28_20,sadness
7,matthew_4_16,joy
8,psalms_73_15,fear
9,james_1_16,neutral
10,psalms_68_5,joy
11,ezekiel_22_31,anger
12,joshua_10_2,fear
13,isaiah_30_3,sadness
14,1_corinthians_8_5,neutral
15,proverbs_18_1,neutral
16,psalms_35_18,joy
17,2_kings_16_20,neutral
18,romans_14_9,joy
19,judges_12_15,neutral
20,exodus_10_15,fear
21,1_corinthians_4_4,neutral
22,matthew_27_49,surprise
23,jeremiah_18_9,joy
24,exodus_37_28,neutral
25,genesis_4_18,neutral
26,genesis_37_23,anger
27,deuteronomy_3_14,neutral
28,jeremiah_3_5,anger
29,genesis_42_15,fear
30,matthew_5_39,neutral
31,matthew_22_5,disgust
32,numbers_7_85,neutral
33,john_19_23,sadness
34,matthew_11_6,joy
35,ezekiel_39_27,joy
36,2_thessalonians_3_8,neutral
37,judges_6_8,joy
38,1_samuel_17_31,surprise
39,1_samuel_4_3,fear
40,genesis_12_20,neutral
41,1_samuel_14_22,joy
42,1_kings_2_26,sadness
43,1_chronicles_2_49,neutral
44,micah_7_11,joy
45,lamentations_1_1,sadness
46,2_kings_5_22,fear
47,acts_1_2,neutral
48,joel_1_5,sadness
49,romans_6_21,sadness
50,joshua_3_7,joy
51,isaiah_40_23,anger
52,2_samuel_22_51,joy
53,2_chronicles_2_12,joy
54,psalms_31_24,joy
55,proverbs_15_25,anger
56,mark_4_34,neutral
57,2_kings_12_1,neutral
58,psalms_107_5,sadness
59,2_kings_21_25,neutral
60,genesis_27_28,joy
61,jeremiah_51_20,anger
62,acts_16_16,surprise
63,1_kings_1_34,joy
64,genesis_42_2,fear
65,1_kings_22_3,anger
66,john_3_20,disgust
67,isaiah_57_10,neutral
68,2_chronicles_20_8,neutral
69,revelation_18_13,sadness
70,colossians_2_15,joy
71,2_samuel_18_23,joy
72,proverbs_12_12,disgust
73,mark_11_30,surprise
74,jeremiah_23_10,sadness
75,genesis_42_4,fear
76,genesis_32_6,fear
77,acts_23_34,neutral
78,jeremiah_7_31,disgust
79,psalms_28_6,joy
80,psalms_119_136,sadness
81,ezekiel_12_22,sadness
82,psalms_71_18,fear
83,mark_11_28,anger
84,joshua_11_14,anger
85,psalms_39_5,sadness
86,genesis_26_21,anger
87,2_samuel_2_9,neutral
88,2_timothy_4_7,joy
89,exodus_22_13,neutral
90,james_5_11,joy
91,leviticus_25_7,neutral
92,psalms_99_1,fear
93,psalms_78_52,joy
94,leviticus_22_2,neutral
95,proverbs_15_23,joy
96,ezekiel_9_5,anger
97,judges_8_20,fear
98,daniel_2_10,surprise
99,1_kings_19_12,surprise
100,2_corinthians_8_18,joy
101,job_31_39,anger
102,numbers_29_17,neutral
103,1_kings_21_6,anger
104,joshua_23_5,joy
105,daniel_7_13,surprise
106,genesis_2_20,sadness
107,proverbs_7_17,neutral
108,isaiah_13_14,fear
109,isaiah_19_16,fear
110,exodus_20_5,anger
111,ezra_9_9,joy
112,zechariah_4_14,neutral
113,proverbs_22_22,anger
114,leviticus_24_21,anger
115,psalms_72_18,joy
116,isaiah_59_4,disgust
117,ezekiel_32_21,sadness
118,ruth_3_10,joy
119,psalms_119_95,fear
120,2_corinthians_6_17,neutral
121,1_samuel_26_22,neutral
122,genesis_19_36,disgust
123,numbers_21_20,neutral
124,exodus_38_4,neutral
125,ezekiel_37_17,surprise
126,nehemiah_4_11,fear
127,song_of_solomon_3_7,neutral
128,genesis_10_13,neutral
129,2_chronicles_10_14,anger
130,1_kings_8_20,joy
