id,verse_id,verse
0,song_of_solomon_5_16,"His mouth is most sweet: yea, he is altogether lovely. This is my beloved, and this is my friend, O daughters of Jerusalem."
1,jeremiah_7_6,"If ye oppress not the stranger, the fatherless, and the widow, and shed not innocent blood in this place, neither walk after other gods to your hurt:"
2,galatians_6_14,"But God forbid that I should glory, save in the cross of our Lord Jesus Christ, by whom the world is crucified unto me, and I unto the world."
3,jeremiah_32_21,"And hast brought forth thy people Israel out of the land of Egypt with signs, and with wonders, and with a strong hand, and with a stretched out arm, and with great terror;"
4,matthew_17_24,"And when they were come to Capernaum, they that received tribute money came to Peter, and said, Doth not your master pay tribute?"
5,genesis_22_12,"And he said, Lay not thine hand upon the lad, neither do thou any thing unto him: for now I know that thou fearest God, seeing thou hast not withheld thy son, thine only son from me."
6,acts_28_20,"For this cause therefore have I called for you, to see you, and to speak with you: because that for the hope of Israel I am bound with this chain."
7,matthew_4_16,The people which sat in darkness saw great light; and to them which sat in the region and shadow of death light is sprung up.
8,psalms_73_15,"If I say, I will speak thus; behold, I should offend against the generation of thy children."
9,james_1_16,"Do not err, my beloved brethren."
10,psalms_68_5,"A father of the fatherless, and a judge of the widows, is God in his holy habitation."
11,ezekiel_22_31,"Therefore have I poured out mine indignation upon them; I have consumed them with the fire of my wrath: their own way have I recompensed upon their heads, saith the Lord GOD."
12,joshua_10_2,"That they feared greatly, because Gibeon was a great city, as one of the royal cities, and because it was greater than Ai, and all the men thereof were mighty."
13,isaiah_30_3,"Therefore shall the strength of Pharaoh be your shame, and the trust in the shadow of Egypt your confusion."
14,1_corinthians_8_5,"For though there be that are called gods, whether in heaven or in earth, (as there be gods many, and lords many,)"
15,proverbs_18_1,"Through desire a man, having separated himself, seeketh and intermeddleth with all wisdom."
16,psalms_35_18,I will give thee thanks in the great congregation: I will praise thee among much people.
17,2_kings_16_20,"And Ahaz slept with his fathers, and was buried with his fathers in the city of David: and Hezekiah his son reigned in his stead."
18,romans_14_9,"For to this end Christ both died, and rose, and revived, that he might be Lord both of the dead and living."
19,judges_12_15,"And Abdon the son of Hillel the Pirathonite died, and was buried in Pirathon in the land of Ephraim, in the mount of the Amalekites."
20,exodus_10_15,"For they covered the face of the whole earth, so that the land was darkened; and they did eat every herb of the land, and all the fruit of the trees which the hail had left: and there remained not any green thing in the trees, or in the herbs of the field, through all the land of Egypt."
21,1_corinthians_4_4,For I know nothing by myself; yet am I not hereby justified: but he that judgeth me is the Lord.
22,matthew_27_49,"The rest said, Let be, let us see whether Elias will come to save him."
23,jeremiah_18_9,"And at what instant I shall speak concerning a nation, and concerning a kingdom, to build and to plant it;"
24,exodus_37_28,"And he made the staves of shittim wood, and overlaid them with gold."
25,genesis_4_18,And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.
26,genesis_37_23,"And it came to pass, when Joseph was come unto his brethren, that they stript Joseph out of his coat, his coat of many colours that was on him;"
27,deuteronomy_3_14,"Jair the son of Manasseh took all the country of Argob unto the coasts of Geshuri and Maachathi; and called them after his own name, Bashan-havoth-jair, unto this day."
28,jeremiah_3_5,"Will he reserve his anger for ever? will he keep it to the end? Behold, thou hast spoken and done evil things as thou couldest."
29,genesis_42_15,"Hereby ye shall be proved: By the life of Pharaoh ye shall not go forth hence, except your youngest brother come hither."
30,matthew_5_39,"But I say unto you, That ye resist not evil: but whosoever shall smite thee on thy right cheek, turn to him the other also."
31,matthew_22_5,"But they made light of it, and went their ways, one to his farm, another to his merchandise:"
32,numbers_7_85,"Each charger of silver weighing an hundred and thirty shekels, each bowl seventy: all the silver vessels weighed two thousand and four hundred shekels, after the shekel of the sanctuary:"
33,john_19_23,"Then the soldiers, when they had crucified Jesus, took his garments, and made four parts, to every soldier a part; and also his coat: now the coat was without seam, woven from the top throughout."
34,matthew_11_6,"And blessed is he, whosoever shall not be offended in me."
35,ezekiel_39_27,"When I have brought them again from the people, and gathered them out of their enemies' lands, and am sanctified in them in the sight of many nations;"
36,2_thessalonians_3_8,"Neither did we eat any man's bread for nought; but wrought with labour and travail night and day, that we might not be chargeable to any of you:"
37,judges_6_8,"That the LORD sent a prophet unto the children of Israel, which said unto them, Thus saith the LORD God of Israel, I brought you up from Egypt, and brought you forth out of the house of bondage;"
38,1_samuel_17_31,"And when the words were heard which David spake, they rehearsed them before Saul: and he sent for him."
39,1_samuel_4_3,"And when the people were come into the camp, the elders of Israel said, Wherefore hath the LORD smitten us to day before the Philistines? Let us fetch the ark of the covenant of the LORD out of Shiloh unto us, that, when it cometh among us, it may save us out of the hand of our enemies."
40,genesis_12_20,"And Pharaoh commanded his men concerning him: and they sent him away, and his wife, and all that he had."
41,1_samuel_14_22,"Likewise all the men of Israel which had hid themselves in mount Ephraim, when they heard that the Philistines fled, even they also followed hard after them in the battle."
42,1_kings_2_26,"And unto Abiathar the priest said the king, Get thee to Anathoth, unto thine own fields; for thou art worthy of death: but I will not at this time put thee to death, because thou barest the ark of the Lord GOD before David my father, and because thou hast been afflicted in all wherein my father was afflicted."
43,1_chronicles_2_49,"She bare also Shaaph the father of Madmannah, Sheva the father of Machbenah, and the father of Gibea: and the daughter of Caleb was Achsa."
44,micah_7_11,"In the day that thy walls are to be built, in that day shall the decree be far removed."
45,lamentations_1_1,"How doth the city sit solitary, that was full of people how is she become as a widow she that was great among the nations, and princess among the provinces, how is she become tributary"
46,2_kings_5_22,"And he said, All is well. My master hath sent me, saying, Behold, even now there be come to me from mount Ephraim two young men of the sons of the prophets: give them, I pray thee, a talent of silver, and two changes of garments."
47,acts_1_2,"Until the day in which he was taken up, after that he through the Holy Ghost had given commandments unto the apostles whom he had chosen:"
48,joel_1_5,"Awake, ye drunkards, and weep; and howl, all ye drinkers of wine, because of the new wine; for it is cut off from your mouth."
49,romans_6_21,What fruit had ye then in those things whereof ye are now ashamed? for the end of those things is death.
50,joshua_3_7,"And the LORD said unto Joshua, This day will I begin to magnify thee in the sight of all Israel, that they may know that, as I was with Moses, so I will be with thee."
51,isaiah_40_23,That bringeth the princes to nothing; he maketh the judges of the earth as vanity.
